Medicine, Cost, Composition, Dosage
Levothyroxine,44, Isradipine, 75-300mg once/day
Simvastatin,66, Lisinopril Dihydrate, 20-80mg once/day
Pioglitazone,19, Telmisartan, 5-10mg once/day
Haloperidol,60, Valsartan, 2.5-10mg once/day
Felodipine,84, Azithromycin, 10mg once/day
Valproic Acid,39, Baclofen, 2.5-30mg once every 2-4 weeks
Pantoprazole,41, Clopidogrel Bisulfate, 5-30mg once/day
Lisinopril,45, Amlodipine Besylate, 25-1000mg/day
Metoprolol,46, Felodipine, 10mg once/day
Telmisartan,90, Quetiapine Fumarate, 5-10mg once/day
Ramipril,50, Metformin Hydrochloride, 20-80mg once/day
Aspirin,51, Clopidogrel Bisulfate, 15-45mg once/day
Candesartan,61, Venlafaxine Hydrochloride, 75-150mg 2-3 times/day
Quetiapine,61, Warfarin Sodium, 8-32mg once/day
Ibuprofen,55, Lisinopril Dihydrate, 2.5-20mg once/day
Aripiprazole,72, Montelukast Sodium, 75mg once/day
Simvastatin,44, Pregabalin, 5-30mg once/day
Fluphenazine,75, Nateglinide, 20mg once/day
Ranitidine,61, Acetylsalicylic Acid, 12.5-150mg 3 times/day
Baclofen,75, Ramipril, 0.5-4mg before each meal
Thioridazine,43, Furosemide, 2.5-20mg once/day
Chlorpromazine,73, Lithium Carbonate, 5-20mg once/day
Irbesartan,54, Amoxicillin Trihydrate, 0.5-2mg 2-3 times/day
Glibenclamide,36, Baclofen, 5-10mg once/day
Fluphenazine,59, Metformin Hydrochloride, 25-500mg once/day
Aspirin,66, Montelukast Sodium, 12.5-25mg once/day
Lithium Carbonate,62, Voglibose, 6-12mg once/day
Metformin,43, Ibuprofen, 5-30mg once/day
Paliperidone,67, Rosiglitazone Maleate, 120mg before each meal
Metformin,68, Benazepril Hydrochloride, 1-4mg once/day
Lamotrigine,32, Losartan Potassium, 40mg once/day
Glibenclamide,68, Baclofen, 30-120mg 2-3 times/day
Isradipine,48, Valsartan, 500mg every 4-6 hours (up to 4g/day)
Isradipine,80, Lamotrigine, 12.5-150mg 3 times/day
Captopril,65, Aripiprazole, 37.5-225mg once/day
Fluphenazine,21, Nifedipine, 10-40mg once/day
Atorvastatin,85, Donepezil Hydrochloride, 500mg every 4-6 hours (up to 4g/day)
Trazodone,86, Omeprazole, 2.5-20mg once/day
Isradipine,73, Miglitol, 40-320mg once/day
Duloxetine,60, Diltiazem Hydrochloride, 0.2-0.3g before each meal
Ramipril,54, Nifedipine, 600-1800mg/day
Carvedilol,36, Nifedipine, 500-1000mg 2-3 times/day with meals (up to 2.5g/day)
Amlodipine,37, Carvedilol, 10-30mg 2-3 times/day
Trazodone,29, Enalapril Maleate, 500-2000mg/day
Furosemide,59, Lamotrigine, 2.5-20mg once/day with meal
Carvedilol,48, Ziprasidone Hydrochloride, 10-30mg 2-3 times/day
Clopidogrel,43, Levothyroxine Sodium, 1-100mg/day
Gabapentin,55, Lisinopril, 10-40mg once/day
Rosiglitazone,27, Miglitol, 5-10mg once/day
Metformin,30, Glimepiride, 40mg once/day
Risperidone,46, Lisinopril, 40-160mg once/day
Valproic Acid,25, Telmisartan, 250-500mg every 8 hours (up to 3g/day)
Irbesartan,74, Donepezil Hydrochloride, 10mg once/day
Losartan,71, Valsartan, 500mg every 4-6 hours (up to 4g/day)
Trazodone,49, Valproic Acid, 25-100mg once/day
Enalapril,51, Haloperidol, 8-32mg once/day
Plendil,68, Acarbose, 10mg once/day
Gabapentin,52, Haloperidol, 500mg every 4-6 hours (up to 4g/day)
Simvastatin,51, Diltiazem Hydrochloride, 5-10mg once/day
Pregabalin,61, Voglibose, 40-320mg 2-3 times/day
Venlafaxine,73, Montelukast Sodium, 0.5-2mg 2-3 times/day
Venlafaxine,23, Telmisartan, 300-1200mg 3 times/day
Procardia,74, Omeprazole, 37.5-225mg once/day
Montelukast,65, Lamotrigine, 500mg every 4-6 hours (up to 4g/day)
Glimepiride,60, Venlafaxine Hydrochloride, 5-20mg once/day
Paliperidone,65, Lisinopril Dihydrate, 20-80mg once/day
Donepezil,49, Gabapentin, 600-1800mg/day
Baclofen,68, Simvastatin, 2.5-10mg once/day
Ramipril,49, Lamotrigine, 150-300mg 2-3 times/day
Lithium Carbonate,65, Acetylsalicylic Acid, 8-32mg once/day
Nifedipine,27, Nifedipine, 600-1800mg/day
Rosiglitazone,77, Benazepril Hydrochloride, 37.5-225mg once/day
Ibuprofen,32, Diltiazem Hydrochloride, 12.5-150mg 3 times/day
Ibuprofen,25, Lisinopril Dihydrate, 5-10mg once/day
Furosemide,35, Donepezil Hydrochloride, 150-300mg once/day
Carvedilol,80, Omeprazole, 500-2000mg/day
Quetiapine,21, Glyburide, 6-12mg once/day
Procardia,91, Clonazepam, 5-40mg once/day
Amlodipine,64, Duloxetine Hydrochloride, 25-1000mg/day
Risperidone,66, Voglibose, 40-60mg once/day
Venlafaxine,67, Fluoxetine Hydrochloride, 500mg every 4-6 hours (up to 4g/day)
Glyburide,47, Captopril, 5-20mg once/day
Venlafaxine,50, Carvedilol, 10-40mg once/day
Lisinopril,23, Telmisartan, 150-300mg 2-3 times/day
Montelukast,48, Lisinopril Dihydrate, 25-100mg once/day
Nifedipine,66, Nisoldipine, 10-30mg 2-3 times/day
Haloperidol,92, Glimepiride, 5-10mg once/day
Captopril,56, Doxycycline Hyclate, 80-120mg 2-3 times/day
Montelukast,74, Azithromycin, 25-100mg before each meal
Metformin,73, Glyburide, 20-80mg once/day
Glimepiride,61, Glyburide, 80-120mg 2-3 times/day
Voglibose,51, Nateglinide, 10-80mg 2-3 times/day
Pantoprazole,81, Nifedipine, 120mg before each meal
Lisinopril,45, Cetirizine Hydrochloride, 37.5-225mg once/day
Metformin,44, Montelukast Sodium, 0.2-0.3g before each meal
Lamotrigine,70, Propranolol Hydrochloride, 25-800mg once/day
Ramipril,43, Acetaminophen, 400-600mg every 4-6 hours (up to 3.2g/day)
Enalapril,90, Acetylsalicylic Acid, 80-120mg 2-3 times/day
Nifedipine,63, Miglitol, 5-10mg once/day
Lisinopril,25, Losartan Potassium, 10-20mg once/day
Aspirin,51, Benazepril Hydrochloride, 10-40mg once/day
Clopidogrel,37, Olanzapine, 25-100mg once/day
Simvastatin,75, Thioridazine Hydrochloride, 10-40mg once/day
Levothyroxine,77, Acetaminophen, 80-120mg 2-3 times/day
Aripiprazole,69, Simvastatin, 40mg once/day
Atorvastatin,52, Chlorpromazine Hydrochloride, 5-10mg once/day
Alprazolam,27, Telmisartan, 2.5-20mg once/day
Losartan,99, Acarbose, 25-100mg before each meal
Quetiapine,92, Levothyroxine Sodium, 0.2-0.3g before each meal
Amlodipine,44, Lamotrigine, 75-150mg 2-3 times/day
Fluphenazine,35, Lamotrigine, 150-300mg once/day
Ramipril,51, Azithromycin, 0.5-2mg 2-3 times/day
Glibenclamide,15, Acarbose, 4-8mg once/day
Glimepiride,76, Fluoxetine Hydrochloride, 40mg once/day
Lercanidipine,44, Lercanidipine Hydrochloride, 10-30mg 2-3 times/day
Montelukast,55, Nifedipine, 2.5-20mg once/day
Metformin,55, Lisinopril Dihydrate, 400-600mg every 4-6 hours (up to 3.2g/day)
Rosiglitazone,44, Carvedilol, 300-1200mg 3 times/day
Aspirin,41, Thioridazine Hydrochloride, 5-10mg once/day
Clonazepam,42, Ibuprofen, 325-650mg every 4-6 hours (up to 4g/day)
Plendil,53, Baclofen, 80-120mg 2-3 times/day
Captopril,66, Levothyroxine Sodium, 20mg once/day
Voglibose,26, Nifedipine, 100mg every 12 hours (up to 200mg/day)
Montelukast,60, Diltiazem Hydrochloride, 600-1800mg/day
Ramipril,68, Montelukast Sodium, 25-100mg once/day
Fluoxetine,83, Duloxetine Hydrochloride, 25-100mg before each meal
Carvedilol,42, Atorvastatin Calcium, 5-10mg once/day
Quetiapine,50, Aripiprazole, 0.5-4mg before each meal
Atorvastatin,42, Ziprasidone Hydrochloride, 12.5-25mg once/day
Valsartan,46, Furosemide, 1-4mg once/day
Metformin,45, Ramipril, 2.5-30mg once every 2-4 weeks
Glibenclamide,41, Felodipine, 150-300mg 2-3 times/day
Venlafaxine,74, Voglibose, 12.5-25mg once/day
Ibuprofen,41, Captopril, 0.5-4mg before each meal
Captopril,64, Diltiazem Hydrochloride, 400-600mg every 4-6 hours (up to 3.2g/day)
Repaglinide,70, Losartan Potassium, 0.2-0.3g before each meal
Hydrochlorothiazide,56, Valsartan, 25-1000mg/day
Rosiglitazone,68, Pregabalin, 80-120mg 2-3 times/day
Nifedipine,49, Pregabalin, 10-20mg once/day
Repaglinide,55, Glyburide, 500-2000mg/day
Isradipine,73, Chlorpromazine Hydrochloride, 8-32mg once/day
Felodipine,39, Repaglinide, 1-4mg once/day
Warfarin,63, Metformin Hydrochloride, 500-1000mg 2-3 times/day with meals (up to 2.5g/day)
Pantoprazole,55, Donepezil Hydrochloride, 10-40mg once/day
Procardia,69, Lisinopril Dihydrate, 10-80mg once/day
Repaglinide,52, Diltiazem Hydrochloride, 10-80mg 2-3 times/day
Valproic Acid,50, Levothyroxine Sodium, 20-80mg once/day
Miglitol,46, Fluphenazine Decanoate, 37.5-225mg once/day
Ranitidine,30, Donepezil Hydrochloride, 37.5-225mg once/day
Warfarin,62, Nifedipine, 15-45mg once/day
Metformin,59, Venlafaxine Hydrochloride, 500mg every 4-6 hours (up to 4g/day)
Irbesartan,61, Metformin Hydrochloride, 500mg every 4-6 hours (up to 4g/day)
Pregabalin,83, Doxycycline Hyclate, 4-8mg once/day
Lercanidipine,45, Doxycycline Hyclate, 500mg on day 1 followed by 250mg once/day for 4 days
Simvastatin,23, Diltiazem Hydrochloride, 25-100mg once/day
Venlafaxine,21, Furosemide, 20-80mg once/day
Ibuprofen,50, Lamotrigine, 500-3000mg/day
Adalat,60, Miglitol, 30-120mg 2-3 times/day
Gabapentin,40, Donepezil Hydrochloride, 50-450mg 2-3 times/day
Glyburide,57, Valproic Acid, 150-300mg once/day
Losartan,46, Alprazolam, 6.25-50mg 2-3 times/day
Furosemide,75, Alprazolam, 500mg every 4-6 hours (up to 4g/day)
Clopidogrel,34, Enalapril Maleate, 0.2-0.3g before each meal
Captopril,45, Metformin Hydrochloride, 500-1000mg 2-3 times/day with meals (up to 2.5g/day)
Diltiazem,67, Alprazolam, 10-30mg 2-3 times/day
Nifedipine,77, Pantoprazole Sodium, 20-80mg once/day
Alprazolam,93, Repaglinide, 325-650mg every 4-6 hours (up to 4g/day)
Risperidone,61, Acarbose, 75-300mg once/day
Furosemide,62, Enalapril Maleate, 5-20mg once/day
Clopidogrel,40, Aripiprazole, 25-800mg/day
Pregabalin,70, Felodipine, 50-450mg 2-3 times/day
Venlafaxine,75, Paliperidone, 2.5-10mg once/day
Glyburide,49, Montelukast Sodium, 10-40mg once/day
Ibuprofen,20, Losartan Potassium, 400-600mg every 4-6 hours (up to 3.2g/day)
Atorvastatin,75, Thioridazine Hydrochloride, 10mg once/day
Enalapril,93, Quetiapine Fumarate, 500mg every 4-6 hours (up to 4g/day)
Telmisartan,66, Lisinopril, 150-300mg 2-3 times/day
Glibenclamide,56, Ibuprofen, 15-45mg once/day
Pioglitazone,19, Ranitidine Hydrochloride, 600-1800mg/day
Venlafaxine,79, Hydrochlorothiazide, 25-1000mg/day
Atorvastatin,62, Benazepril Hydrochloride, 10-80mg once/day
Risperidone,50, Ibuprofen, 25-100mg once/day
Haloperidol,55, Repaglinide, 40-320mg once/day
Lithium Carbonate,77, Lisinopril Dihydrate, 600-1800mg/day
Pantoprazole,27, Lisinopril Dihydrate, 0.2-0.3g before each meal
Telmisartan,49, Ranitidine Hydrochloride, 2.5-20mg once/day
Venlafaxine,50, Verapamil Hydrochloride, 5-10mg 2-3 times/day
Gabapentin,32, Duloxetine Hydrochloride, 500-3000mg/day
Verapamil,52, Venlafaxine Hydrochloride, 500mg every 4-6 hours (up to 4g/day)
Furosemide,53, Losartan Potassium, 150-300mg once/day
Glibenclamide,68, Olanzapine, 80-120mg 2-3 times/day
Glibenclamide,68, Azithromycin, 40-320mg 2-3 times/day
Telmisartan,58, Ranitidine Hydrochloride, 500mg every 4-6 hours (up to 4g/day)
Pioglitazone,60, Benazepril Hydrochloride, 10-30mg 2-3 times/day
Trazodone,63, Ibuprofen, 250-500mg every 8 hours (up to 3g/day)
Hydrochlorothiazide,101, Chlorpromazine Hydrochloride, 25-800mg/day
Chlorpromazine,81, Fluphenazine Decanoate, 25-800mg/day
Enalapril,69, Pantoprazole Sodium, 20-80mg once/day
Cetirizine,50, Amlodipine Besylate, 40-60mg once/day
Captopril,27, Alprazolam, 10-80mg once/day
Glyburide,58, Acetylsalicylic Acid, 5-10mg once/day
Verapamil,55, Furosemide, 300-1200mg 3 times/day
Metformin,48, Thioridazine Hydrochloride, 600-1800mg/day
Duloxetine,62, Lercanidipine Hydrochloride, 500-3000mg/day
Cetirizine,88, Ranitidine Hydrochloride, 20-80mg once/day
Glibenclamide,60, Nifedipine, 25-100mg before each meal
Metformin,85, Venlafaxine Hydrochloride, 5-20mg once/day
Metoprolol,33, Lithium Carbonate, 0.25-2mg 2-3 times/day
Losartan,75, Clopidogrel Bisulfate, 500mg every 4-6 hours (up to 4g/day)
Fluoxetine,69, Repaglinide, 10-30mg 2-3 times/day
Montelukast,72, Propranolol Hydrochloride, 500mg every 4-6 hours (up to 4g/day)
Glyburide,75, Benazepril Hydrochloride, 2.5-20mg once/day with meal
Verapamil,84, Amoxicillin Trihydrate, 20-80mg once/day
Warfarin,68, Atorvastatin Calcium, 10-40mg once/day
Trazodone,67, Thioridazine Hydrochloride, 10-40mg once/day
Gabapentin,47, Glimepiride, 5-10mg once/day
Adalat,46, Repaglinide, 10-30mg 2-3 times/day
Clopidogrel,57, Lercanidipine Hydrochloride, 0.5-4mg before each meal
Captopril,55, Montelukast Sodium, 2.5-20mg once/day with meal
Chlorpromazine,90, Glimepiride, 75-150mg 2-3 times/day
Ibuprofen,69, Azithromycin, 15-45mg once/day
Olanzapine,73, Nifedipine, 5-20mg once/day
Risperidone,71, Montelukast Sodium, 10-40mg once/day
Haloperidol,54, Aripiprazole, 6.25-50mg 2-3 times/day
Glimepiride,66, Risperidone, 25-500mg once/day
Glyburide,37, Duloxetine Hydrochloride, 10-40mg once/day
Warfarin,71, Nifedipine, 5-10mg once/day
Baclofen,38, Metoprolol Tartrate, 325-650mg every 4-6 hours (up to 4g/day)
Chlorpromazine,20, Telmisartan, 1-4mg once/day
Montelukast,35, Lisinopril, 10-40mg once/day
Montelukast,83, Cetirizine Hydrochloride, 2.5-20mg once/day
Hydrochlorothiazide,89, Miglitol, 500mg every 4-6 hours (up to 4g/day)
Paracetamol,31, Rosiglitazone Maleate, 0.25-2mg 2-3 times/day
Aripiprazole,55, Atorvastatin Calcium, 75mg once/day
Isradipine,43, Metformin Hydrochloride, 25-800mg/day
Valproic Acid,23, Cetirizine Hydrochloride, 0.2-0.3g before each meal
Aspirin,51, Lamotrigine, 325-650mg every 4-6 hours (up to 4g/day)
Valproic Acid,55, Carvedilol, 500-3000mg/day
Voglibose,53, Voglibose, 40-320mg once/day
Losartan,54, Venlafaxine Hydrochloride, 1-4mg once/day
Haloperidol,44, Fluoxetine Hydrochloride, 300-1200mg 3 times/day
Lamotrigine,61, Risperidone, 75mg once/day
Warfarin,86, Rosiglitazone Maleate, 20mg once/day
Olanzapine,73, Felodipine, 500mg every 4-6 hours (up to 4g/day)
Clonazepam,83, Metoprolol Tartrate, 500mg every 4-6 hours (up to 4g/day)
Nisoldipine,79, Ranitidine Hydrochloride, 25-100mg before each meal
Verapamil,53, Lisinopril Dihydrate, 2.5-20mg once/day
Aspirin,28, Acetaminophen, 2-6mg once/day
Furosemide,64, Lamotrigine, 25-100mg once/day
Lercanidipine,50, Valsartan, 40mg once/day
Alprazolam,45, Nifedipine, 1-4mg once/day
Metformin,54, Clonazepam, 80-120mg 2-3 times/day
Fluoxetine,52, Acetaminophen, 300-1200mg 3 times/day
Procardia,56, Metformin Hydrochloride, 300-1200mg 3 times/day
Pregabalin,43, Azithromycin, 6-12mg once/day
Losartan,44, Paliperidone, 6.25-50mg 2-3 times/day
Clonazepam,80, Valsartan, 0.25-2mg 2-3 times/day
Paracetamol,65, Nateglinide, 10-20mg once/day
Amoxicillin,26, Felodipine, 300-1200mg 3 times/day
Metformin,54, Acarbose, 75-300mg once/day
Metformin,78, Risperidone, 500mg every 4-6 hours (up to 4g/day)
Duloxetine,50, Amoxicillin Trihydrate, 5-20mg once/day
Lithium Carbonate,79, Metoprolol Tartrate, 2.5-20mg once/day
Clonazepam,53, Telmisartan, 10-80mg 2-3 times/day
Amoxicillin,57, Paliperidone, 12.5-25mg once/day
Alprazolam,55, Enalapril Maleate, 0.2-0.3g before each meal
Captopril,38, Propranolol Hydrochloride, 10-30mg 2-3 times/day
Miglitol,39, Donepezil Hydrochloride, 5-30mg once/day
Glyburide,39, Fluoxetine Hydrochloride, 20-80mg once/day
Simvastatin,42, Metformin Hydrochloride, 40-160mg once/day
Valsartan,60, Glyburide, 2.5-20mg once/day
Amoxicillin,67, Amlodipine Besylate, 600-1800mg/day
Acarbose,62, Acetaminophen, 8-32mg once/day
Lisinopril,44, Cetirizine Hydrochloride, 10-40mg once/day
Metformin,69, Nateglinide, 0.2-0.3g before each meal
Carvedilol,36, Furosemide, 500mg every 4-6 hours (up to 4g/day)
Venlafaxine,76, Acarbose, 10-30mg 2-3 times/day
Voglibose,65, Losartan Potassium, 10-80mg once/day
Cetirizine,30, Aripiprazole, 0.25-2mg 2-3 times/day
Pregabalin,92, Lamotrigine, 30-120mg 2-3 times/day
Lisinopril,54, Benazepril Hydrochloride, 0.25-2mg 2-3 times/day
Acarbose,72, Valsartan, 10-80mg 2-3 times/day
Amlodipine,37, Captopril, 0.25-2mg 2-3 times/day
Paracetamol,42, Hydrochlorothiazide, 80-120mg 2-3 times/day
Haloperidol,38, Venlafaxine Hydrochloride, 5-20mg once/day
Nifedipine,87, Ziprasidone Hydrochloride, 10-80mg once/day
Losartan,42, Duloxetine Hydrochloride, 25-100mg once/day
Enalapril,71, Rosiglitazone Maleate, 10-80mg 2-3 times/day
Fluphenazine,42, Venlafaxine Hydrochloride, 0.2-0.3g before each meal
Glibenclamide,50, Cetirizine Hydrochloride, 30-120mg 2-3 times/day
Nisoldipine,78, Miglitol, 75-150mg 2-3 times/day
Ziprasidone,73, Captopril, 2.5-20mg once/day with meal
Cetirizine,81, Montelukast Sodium, 75-300mg once/day
Atorvastatin,75, Pantoprazole Sodium, 25-100mg once/day
Metformin,34, Trazodone Hydrochloride, 120mg before each meal
Enalapril,97, Candesartan Cilexetil, 2.5-20mg once/day with meal
Repaglinide,70, Acetaminophen, 25-1000mg/day
Rosiglitazone,72, Furosemide, 0.25-2mg 2-3 times/day
Doxycycline,41, Lisinopril Dihydrate, 5-10mg 2-3 times/day
Rosiglitazone,67, Felodipine, 25-200mcg once/day
Montelukast,59, Verapamil Hydrochloride, 5-10mg 2-3 times/day
Verapamil,68, Ziprasidone Hydrochloride, 40-160mg once/day
Quetiapine,55, Isradipine, 75mg once/day
Voglibose,71, Valsartan, 150-300mg 2-3 times/day
Aspirin,59, Levothyroxine Sodium, 0.2-0.3g before each meal
Carvedilol,68, Lithium Carbonate, 250-500mg every 8 hours (up to 3g/day)
Simvastatin,40, Risperidone, 5-40mg once/day
Captopril,83, Nifedipine, 5-10mg once/day
Lercanidipine,70, Lercanidipine Hydrochloride, 5-30mg once/day
Lithium Carbonate,20, Fluoxetine Hydrochloride, 6-12mg once/day
Glimepiride,88, Alprazolam, 5-30mg once/day
Thioridazine,58, Nifedipine, 500-3000mg/day
Propranolol,31, Risperidone, 10-40mg once/day
Felodipine,36, Felodipine, 400-600mg every 4-6 hours (up to 3.2g/day)
Carvedilol,60, Olanzapine, 15-45mg once/day
Amoxicillin,62, Candesartan Cilexetil, 120mg before each meal
Lithium Carbonate,75, Simvastatin, 300-1200mg 3 times/day
Gabapentin,74, Voglibose, 10mg once/day
Cetirizine,55, Irbesartan, 25-100mg before each meal
Olanzapine,55, Lamotrigine, 10mg once/day
Pioglitazone,82, Glyburide, 10-40mg once/day
Olanzapine,96, Duloxetine Hydrochloride, 15-45mg once/day
Amlodipine,31, Amoxicillin Trihydrate, 4-8mg once/day
Ibuprofen,53, Metformin Hydrochloride, 6-12mg once/day
Nifedipine,89, Ziprasidone Hydrochloride, 5-30mg once/day
Lisinopril,89, Nifedipine, 75-150mg 2-3 times/day
Paliperidone,79, Irbesartan, 600-1800mg/day
Valproic Acid,17, Losartan Potassium, 500-3000mg/day
Ranitidine,64, Lithium Carbonate, 1-100mg/day
Lisinopril,46, Lisinopril, 5-20mg once/day
Enalapril,54, Acarbose, 5-20mg once/day
Pioglitazone,63, Cetirizine Hydrochloride, 25-100mg once/day
Doxycycline,35, Voglibose, 10-30mg 2-3 times/day
Benazepril,22, Amlodipine Besylate, 10-80mg 2-3 times/day
Glibenclamide,47, Lamotrigine, 1-4mg once/day
Venlafaxine,84, Ramipril, 500mg every 4-6 hours (up to 4g/day)
Enalapril,64, Losartan Potassium, 10-20mg once/day
Glyburide,54, Diltiazem Hydrochloride, 40-320mg once/day
Montelukast,55, Lercanidipine Hydrochloride, 10-80mg once/day
Trazodone,35, Enalapril Maleate, 150-300mg once/day
Montelukast,51, Nisoldipine, 5-10mg once/day
Gabapentin,40, Cetirizine Hydrochloride, 500-3000mg/day
Isradipine,68, Trazodone Hydrochloride, 2.5-20mg once/day with meal
Amoxicillin,42, Acetylsalicylic Acid, 500mg every 4-6 hours (up to 4g/day)
Lisinopril,83, Lithium Carbonate, 1-4mg once/day
Nateglinide,75, Gabapentin, 75mg once/day
Miglitol,82, Valsartan, 5-10mg once/day
Candesartan,52, Fluoxetine Hydrochloride, 500mg every 4-6 hours (up to 4g/day)
Glibenclamide,76, Aripiprazole, 600-1800mg/day
Fluphenazine,64, Acetaminophen, 25-100mg before each meal
Lercanidipine,48, Amlodipine Besylate, 10-30mg 2-3 times/day
Propranolol,65, Lercanidipine Hydrochloride, 500-1000mg 2-3 times/day with meals (up to 2.5g/day)
Pioglitazone,62, Metformin Hydrochloride, 20-80mg once/day
Verapamil,58, Lithium Carbonate, 500-2000mg/day
Metformin,92, Lisinopril Dihydrate, 25-500mg once/day
Hydrochlorothiazide,45, Amlodipine Besylate, 30-120mg 2-3 times/day
Furosemide,50, Olanzapine, 0.5-4mg before each meal
Lisinopril,54, Acetylsalicylic Acid, 10-20mg once/day
Venlafaxine,40, Ibuprofen, 5-10mg once/day
Amoxicillin,48, Valsartan, 5-40mg once/day
Venlafaxine,63, Hydrochlorothiazide, 25-800mg once/day
Risperidone,64, Atorvastatin Calcium, 5-10mg once/day
Aripiprazole,62, Irbesartan, 500-1000mg 2-3 times/day with meals (up to 2.5g/day)
Doxycycline,58, Doxycycline Hyclate, 40-160mg once/day
Pregabalin,37, Atorvastatin Calcium, 15-45mg once/day
Lisinopril,43, Repaglinide, 250-500mg every 8 hours (up to 3g/day)
Fluoxetine,30, Captopril, 5-20mg once/day
Pantoprazole,42, Trazodone Hydrochloride, 40-320mg 2-3 times/day
Lithium Carbonate,73, Lamotrigine, 500-1000mg 2-3 times/day with meals (up to 2.5g/day)
Verapamil,40, Lamotrigine, 40-60mg once/day
Metformin,57, Ramipril, 40-320mg 2-3 times/day
Procardia,60, Montelukast Sodium, 10-40mg once/day
Nateglinide,59, Voglibose, 25-100mg once/day
Risperidone,27, Nisoldipine, 4-8mg once/day
Pantoprazole,55, Haloperidol, 75mg once/day
Lamotrigine,35, Pantoprazole Sodium, 12.5-25mg once/day
Warfarin,75, Amoxicillin Trihydrate, 0.2-0.3g before each meal
Telmisartan,49, Lamotrigine, 10-30mg 2-3 times/day
Aspirin,29, Isradipine, 10mg once/day
Paracetamol,44, Amlodipine Besylate, 10-40mg once/day
Alprazolam,58, Lisinopril Dihydrate, 500-3000mg/day
